File;Hackathon download URL;File size;Hackathon thumbnail URL;Inventory Number;stable URI;Metadata available at
MfN_Hym_Sph_D0055.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MfN_Hym_Sph_D0055.jpg;196.361.200;http://coll.mfn-berlin.de/img/MfN_Hym_Sph_D0055.jpg;MfN_Hym_Sph_D0055;http://coll.mfn-berlin.de/u/MfN_Hym_Sph_D0055;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MfN_Hym_Sph_D0055
MfN_Hym_Sph_D0056.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MfN_Hym_Sph_D0056.jpg;205.493.264;http://coll.mfn-berlin.de/img/MfN_Hym_Sph_D0056.jpg;MfN_Hym_Sph_D0056;http://coll.mfn-berlin.de/u/MfN_Hym_Sph_D0056;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MfN_Hym_Sph_D0056
MfN_Hym_Sph_D0057.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MfN_Hym_Sph_D0057.jpg;200.341.754;http://coll.mfn-berlin.de/img/MfN_Hym_Sph_D0057.jpg;MfN_Hym_Sph_D0057;http://coll.mfn-berlin.de/u/MfN_Hym_Sph_D0057;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MfN_Hym_Sph_D0057
MfN_Hym_Sph_D0063.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MfN_Hym_Sph_D0063.jpg;195.204.414;http://coll.mfn-berlin.de/img/MfN_Hym_Sph_D0063.jpg;MfN_Hym_Sph_D0063;http://coll.mfn-berlin.de/u/MfN_Hym_Sph_D0063;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MfN_Hym_Sph_D0063
MfN_Hym_Sph_D0086.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MfN_Hym_Sph_D0086.jpg;195.095.014;http://coll.mfn-berlin.de/img/MfN_Hym_Sph_D0086.jpg;MfN_Hym_Sph_D0086;http://coll.mfn-berlin.de/u/MfN_Hym_Sph_D0086;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MfN_Hym_Sph_D0086
MfN_Hym_Sph_D0088.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MfN_Hym_Sph_D0088.jpg;178.809.496;http://coll.mfn-berlin.de/img/MfN_Hym_Sph_D0088.jpg;MfN_Hym_Sph_D0088;http://coll.mfn-berlin.de/u/MfN_Hym_Sph_D0088;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MfN_Hym_Sph_D0088
MfN_Hym_Sph_D0092.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MfN_Hym_Sph_D0092.jpg;177.770.526;http://coll.mfn-berlin.de/img/MfN_Hym_Sph_D0092.jpg;MfN_Hym_Sph_D0092;http://coll.mfn-berlin.de/u/MfN_Hym_Sph_D0092;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MfN_Hym_Sph_D0092
MfN_Hym_Sph_D0093.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MfN_Hym_Sph_D0093.jpg;187.124.189;http://coll.mfn-berlin.de/img/MfN_Hym_Sph_D0093.jpg;MfN_Hym_Sph_D0093;http://coll.mfn-berlin.de/u/MfN_Hym_Sph_D0093;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MfN_Hym_Sph_D0093
MfN_Hym_Sph_D0114.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MfN_Hym_Sph_D0114.jpg;178.196.038;http://coll.mfn-berlin.de/img/MfN_Hym_Sph_D0114.jpg;MfN_Hym_Sph_D0114;http://coll.mfn-berlin.de/u/MfN_Hym_Sph_D0114;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MfN_Hym_Sph_D0114
MFNB_Col_Brentidae_Brentinae_D0001.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Brentinae_D0001.jpg;187.659.437;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Brentinae_D0001.jpg;MFNB_Col_Brentidae_Brentinae_D0001;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Brentinae_D0001;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Brentinae_D0001
